Nama,Tanggal,comment,Label
Dayu Ganteng,8 Agustus 2021,Aplikasi ini sangat bagus sekali,Positif
Eman Beken,8 Agustus 2021,Aplikasi mantap ...,Positif
Kode bonus 20k: E 8 E X X,7 Agustus 2021,Jangan Download aplikasi jelek banget Tapi bohong ayu,Positif
Tevy Offcial,8 Agustus 2021,Aplikasi ini bagus banget ?...,Negatif
Linda Wati,8 Agustus 2021,Aplikasi ini bagus banget kalian harus download jangan lupa ya,Positif
Tini Rahim,8 Agustus 2021,"Aplikasi dijamin ya sudah terbukti membayar, ayo ikutan download ya kawan Makasih ya kawan",Positif
Ciul Wanara,7 Agustus 2021,"Senang terus nonton video disini bagus-bagus konten,tidak monoton karena hadiah juga ada, pakai kode supaya dapat tambah-tambahan poin dan uang...",Positif
Pasha Nadhif,7 Agustus 2021,Bagus sudah dibilang bagus,Positif
Dimas Febrianto,7 Agustus 2021,Aplikasi kok begini Tapi bagus ini wajib download,Positif
Hamdi Saputra,8 Agustus 2021,"Untukmu pemilik Tiktok Terima kasih sebelum telah memberikan hadiah ke kami, yang awal di permudah dan lama-lama menjadi sulit. Terima kasih telah memberikan kami keuntungan, sehingga kami tetap bisa bertahan hidup. Saya perwakilan yang lain mohon kembalikan event sebelum dan dipermudah",Negatif
Doni Sandika,8 Agustus 2021,Aplikasi yang sangat bagus. Tapi tolong dong buat lagi misi check in dan misi tonton video. Jangan cuma ada misi undang orang aja. Karna dimana mana sekarang ini orang sudah pada download tiktok. Jadi susah buat undang orang. Terimakasih,Positif
NanaChirツ,8 Agustus 2021,Ini kenapa sih aplikasi? Pas belum aku update masih bagus aja loh semenjak aku update akun lama ku hilang Padahal Susah cari follow sudah mau 1K followers  eh malah hilang please  mikir kenapa susah tau Cari followers  sudah gitu tiktok Error lagi Keluar sendiri sudah 7× keluar sendiri Lemot juga ...,Negatif
Java Food Court,7 Agustus 2021,Ini bagus banget loh kalian harus download sekarang juga kenapa lihat lihat kan sudah dibilang bagus,Positif
Deoresly alfons,7 Agustus 2021,Aplikasi bagus sekali,Positif
Dini Sulastri,8 Agustus 2021,aplikasi bagus,Positif
riska indriana,7 Agustus 2021,tiktok bagus kok tidak jelek...,Positif
Amirul 002,7 Agustus 2021,Bang nama aplikasi apa kenapa lihat kebawa kan gue sudah ngomong di atas,Positif
Raffaliano GAMING,8 Agustus 2021,Mantap dah seru kali video,Positif
Rizki Aditya,8 Agustus 2021,Bagus banget aplikasi apa lihat ke bawah emang aplikasi bagus,Positif
Khaula Cute,8 Agustus 2021,tiktok bagus download tiktok sekarang...,Positif
Qyandra zahra official,7 Agustus 2021,Tiktok bagus parah apa lihat kebawah orang sudah bener bagus,Positif
Aliyta Putri,7 Agustus 2021,Aplikasi tidak guna????? Tapi bohong hayu Bagus banget nyesel banget kalo enggak,Positif
Joko Prasetyo,8 Agustus 2021,"Selalu setia bersama aplikasi ini, selalu mendukung konten-konten, pakai kode hadiah, awal login dapat 10k",Positif
Randy Eka,8 Agustus 2021,APLIKASI BAGUS BANGET APA lihat lihat KE BAWAH KAN DAH DI BILANG BAGUS DAH DOWNLOAD...,Positif
Erwin 80,7 Agustus 2021,Aplikasi ini Bagus sekali,Positif
Khadita Aurellia,6 Agustus 2021,Game bagus kenapa lihat,Positif
alvina vibraza,7 Agustus 2021,Aplikasi apaan ni begitu masuk kok menghibur,Positif
may Sarah,8 Agustus 2021,Aplikasi bagus banget...,Positif
Meyke Veronica,7 Agustus 2021,Aplikasi bagus Kok masih lihat bawah kan aku sudah bilang bagus di atas tadi,Negatif
Lala Sri,7 Agustus 2021,Aplikasi ini bagus banget???...,Positif
"Arfan Anugrah Dwiandika, M.S",8 Agustus 2021,Aplikasi bagus banget ...,Positif
Atifha Dzikra Alnur,7 Agustus 2021,Aplikasi bagus banget Lah kok lihat ke bawah...,Positif
Clara Risa,8 Agustus 2021,Aplikasi ini bagus banget aku suka ...,Positif
Amelia Cristin,8 Agustus 2021,Aplikasi seru...,Positif
MUH.RESKY ADRIAN Resky adrian,7 Agustus 2021,Ini aplikasi bagus banget...,Positif
Eeyas Xobirin,8 Agustus 2021,"Mantep bangetlah aplikasi, dapat jajan dari sini mantul mari ramaikan saudara2 biar pada pakai dan klaim bonus. Yuk di share biar makin bak yang tau '",Positif
Mur Ni,7 Agustus 2021,Lucu lucu Benar kan lucu lucu kenapa lihat kebawah,Positif
Tri Ningsih,6 Agustus 2021,Bagus banget aplikasi apa lihat² sudah bilang bagus ya bagus,Positif
Alan Pratama,7 Agustus 2021,Aplikasi bagus ...,Positif
Muhammad 5B,7 Agustus 2021,aku mau kasih tau kalau aplikasi ini bisa setelah titik-titik ini panjang?????,Positif
bunga legina,7 Agustus 2021,Bagus banget...,Positif
Ivan Dien Saputra,8 Agustus 2021,APLIKASI BAGUS...,Positif
