,Label,CleanComment
0,Positif,aplikasi bagus
1,Positif,aplikasi mantap
2,Positif,download aplikasi jelek banget bohong ayu
3,Negatif,aplikasi bagus banget
4,Positif,aplikasi bagus banget download lupa
5,Positif,aplikasi dijamin terbukti membayar ayo ikutan download kawan makasih kawan
6,Positif,senang nonton video bagus bagus konten monoton hadiah pakai kode tambahan poin uang
7,Positif,bagus dibilang bagus
8,Positif,aplikasi bagus wajib download
9,Negatif,untukmu pemilik tiktok terima kasih hadiah permudah sulit terima kasih keuntungan bertahan hidup perwakilan mohon kembalikan event dipermudah
10,Positif,aplikasi bagus tolong misi check misi tonton video misi undang orang aja karna dimana orang download tiktok susah undang orang terimakasih
11,Negatif,sih aplikasi pas update bagus aja loh semenjak update akun hilang susah cari follow followers hilang please mikir susah tau cari followers gitu tiktok error lemot
12,Positif,bagus banget loh download lihat lihat dibilang bagus
13,Positif,aplikasi bagus
14,Positif,aplikasi bagus
15,Positif,tiktok bagus jelek
16,Positif,bang nama aplikasi lihat kebawa gue ngomong
17,Positif,mantap dah seru kali video
18,Positif,bagus banget aplikasi lihat emang aplikasi bagus
19,Positif,tiktok bagus download tiktok
20,Positif,tiktok bagus parah lihat kebawah orang bener bagus
21,Positif,aplikasi bohong hayu bagus banget nyesel banget kalo
22,Positif,setia aplikasi mendukung konten konten pakai kode hadiah login
23,Positif,aplikasi bagus banget lihat lihat dah bilang bagus dah download
24,Positif,aplikasi bagus
25,Positif,game bagus lihat
26,Positif,aplikasi masuk menghibur
27,Positif,aplikasi bagus banget
28,Negatif,aplikasi bagus lihat bilang bagus
29,Positif,aplikasi bagus banget
30,Positif,aplikasi bagus banget
31,Positif,aplikasi bagus banget lihat
32,Positif,aplikasi bagus banget suka
33,Positif,aplikasi seru
34,Positif,aplikasi bagus banget
35,Positif,mantep bangetlah aplikasi jajan mantul mari ramaikan saudara biar pakai klaim bonus yuk share biar bak tau
36,Positif,lucu lucu lucu lucu lihat kebawah
37,Positif,bagus banget aplikasi lihat bilang bagus bagus
38,Positif,aplikasi bagus
39,Positif,kasih tau aplikasi titik titik
40,Positif,bagus banget
41,Positif,aplikasi bagus
42,Positif,semoga tiktok update kouta habis update kau babi dah bilang dasar
43,Positif,aplikasi bagus kawan silahkan download silahkan dipake kode kawan tambahan poinmu
44,Positif,please tiktok akun takedown background vulgar anime takedown banget nyiapin konten gak melanggar takedown banget numpuk lupa kreator pamer bikini
45,Positif,jelek banget bohong hayuk
46,Positif,pengguna penikmat aplikasi tiktok senang lucu lucu menghibur hati gembira hilangkan kepenatan kejenuhan beraktivitas pandemi covid menghadapi psbb dilanjutkan ppkm gabut hati galau
47,Positif,keren banget program aplikasi tiktok banget bagus menyukai uang bak terhibur enjoy banget aplikasi
48,Positif,pokok bagus keren lihat
49,Positif,aplikasi bagus benget lihat dibilang bagus
50,Positif,bagus banget
51,Positif,masukan tiktok pertimbangan tiktok aplikasi dimiliki orang masukan adakan mode kolom komentar berkomentar keyboard papan ketik huruf model voice huruf
52,Positif,bagus banget lihat lihat bilang aplikasi bagus
53,Positif,aplikasiny bagus bohong canda emang bagus aplikasi
54,Positif,aplikasi bagus menarik lihat kebawah bilang bagus
55,Positif,bagus banget aplikasi suka banget bilang bagus aja lihat
56,Negatif,bagus
57,Negatif,akun tiktok dihapus gara gara spam komen spam komen kasih info orang biar kemakan hoax berita tiktok emang adil tiktok milkyxly semoga akun bak kenangan akun amin
58,Negatif,tolong tiktok oppo lag konten tiktok post layar hitam uninstall install crash layar hitam tiktok instal
59,Positif,tiktok gangguan penarikan saldo masuk kerekening jam mohon tiktok perbaiki penarikan saldo cepat biar gak nunggu sampe berhari terima kasih mohon bantuan tiktok
60,Negatif,tiktok aneh disuruh ngundang ngundang bangkrut mah tutup aja suruh ngundang hilangin aja undangan kasih banus aja nonton besarin bonus
61,Positif,aplikasi bagus banget
62,Negatif,aplikasi lawak lihat youtube aplikasi penghasil uang ketemu tiktok legit membayar scam ketaan download pakai link daftar suruh masukin kode dibilang penipuan kontrol maksud gimana aja main tiktok
63,Positif,aplikasi seru banget download
64,Negatif,saldo gagal tarik xiomi dah masukin referal nonton video kesini susah group penghasil uang tiktok bubar mohon kembalikan
65,Positif,aplikasi seru bagus
66,Positif,aplikasi seru banget
67,Positif,ihh enak banget bikin video nonton kasih bintang
