Nama,Tanggal,Rating,comment
Dayu Ganteng,8 Agustus 2021,5,Aplikasi ini sangat bagus sekali
Eman Beken,8 Agustus 2021,5,Aplikasi mantap ...
Kode bonus 20k: E 8 E X X,7 Agustus 2021,5,Jangan Download aplikasi jelek banget Tapi bohong ayu
Tevy Offcial,8 Agustus 2021,1,Aplikasi ini bagus banget ?...
Linda Wati,8 Agustus 2021,5,Aplikasi ini bagus banget kalian harus download jangan lupa ya
Tini Rahim,8 Agustus 2021,5,"Aplikasi dijamin ya sudah terbukti membayar, ayo ikutan download ya kawan Makasih ya kawan"
Ciul Wanara,7 Agustus 2021,5,"Senang terus nonton video disini bagus-bagus konten,tidak monoton karena hadiah juga ada, pakai kode supaya dapat tambah-tambahan poin dan uang..."
Pasha Nadhif,7 Agustus 2021,5,Bagus sudah dibilang bagus
Dimas Febrianto,7 Agustus 2021,5,Aplikasi kok begini Tapi bagus ini wajib download
Hamdi Saputra,8 Agustus 2021,1,"Untukmu pemilik Tiktok Terima kasih sebelum telah memberikan hadiah ke kami, yang awal di permudah dan lama-lama menjadi sulit. Terima kasih telah memberikan kami keuntungan, sehingga kami tetap bisa bertahan hidup. Saya perwakilan yang lain mohon kembalikan event sebelum dan dipermudah"
Doni Sandika,8 Agustus 2021,5,Aplikasi yang sangat bagus. Tapi tolong dong buat lagi misi check in dan misi tonton video. Jangan cuma ada misi undang orang aja. Karna dimana mana sekarang ini orang sudah pada download tiktok. Jadi susah buat undang orang. Terimakasih
NanaChirツ,8 Agustus 2021,1,Ini kenapa sih aplikasi? Pas belum aku update masih bagus aja loh semenjak aku update akun lama ku hilang Padahal Susah cari follow sudah mau 1K followers  eh malah hilang please  mikir kenapa susah tau Cari followers  sudah gitu tiktok Error lagi Keluar sendiri sudah 7× keluar sendiri Lemot juga ...
Java Food Court,7 Agustus 2021,5,Ini bagus banget loh kalian harus download sekarang juga kenapa lihat lihat kan sudah dibilang bagus
Deoresly alfons,7 Agustus 2021,5,Aplikasi bagus sekali
Dini Sulastri,8 Agustus 2021,5,aplikasi bagus
riska indriana,7 Agustus 2021,5,tiktok bagus kok tidak jelek...
Amirul 002,7 Agustus 2021,5,Bang nama aplikasi apa kenapa lihat kebawa kan gue sudah ngomong di atas
Raffaliano GAMING,8 Agustus 2021,5,Mantap dah seru kali video
Rizki Aditya,8 Agustus 2021,5,Bagus banget aplikasi apa lihat ke bawah emang aplikasi bagus
Khaula Cute,8 Agustus 2021,5,tiktok bagus download tiktok sekarang...
Qyandra zahra official,7 Agustus 2021,5,Tiktok bagus parah apa lihat kebawah orang sudah bener bagus
Aliyta Putri,7 Agustus 2021,5,Aplikasi tidak guna????? Tapi bohong hayu Bagus banget nyesel banget kalo enggak
Joko Prasetyo,8 Agustus 2021,5,"Selalu setia bersama aplikasi ini, selalu mendukung konten-konten, pakai kode hadiah, awal login dapat 10k"
Randy Eka,8 Agustus 2021,5,APLIKASI BAGUS BANGET APA lihat lihat KE BAWAH KAN DAH DI BILANG BAGUS DAH DOWNLOAD...
Erwin 80,7 Agustus 2021,5,Aplikasi ini Bagus sekali
Khadita Aurellia,6 Agustus 2021,5,Game bagus kenapa lihat
alvina vibraza,7 Agustus 2021,5,Aplikasi apaan ni begitu masuk kok menghibur
may Sarah,8 Agustus 2021,5,Aplikasi bagus banget...
Meyke Veronica,7 Agustus 2021,2,Aplikasi bagus Kok masih lihat bawah kan aku sudah bilang bagus di atas tadi
Lala Sri,7 Agustus 2021,5,Aplikasi ini bagus banget???...
"Arfan Anugrah Dwiandika, M.S",8 Agustus 2021,5,Aplikasi bagus banget ...
Atifha Dzikra Alnur,7 Agustus 2021,5,Aplikasi bagus banget Lah kok lihat ke bawah...
Clara Risa,8 Agustus 2021,5,Aplikasi ini bagus banget aku suka ...
Amelia Cristin,8 Agustus 2021,5,Aplikasi seru...
MUH.RESKY ADRIAN Resky adrian,7 Agustus 2021,5,Ini aplikasi bagus banget...
Eeyas Xobirin,8 Agustus 2021,5,"Mantep bangetlah aplikasi, dapat jajan dari sini mantul mari ramaikan saudara2 biar pada pakai dan klaim bonus. Yuk di share biar makin bak yang tau '"
Mur Ni,7 Agustus 2021,5,Lucu lucu Benar kan lucu lucu kenapa lihat kebawah
Tri Ningsih,6 Agustus 2021,5,Bagus banget aplikasi apa lihat² sudah bilang bagus ya bagus
Alan Pratama,7 Agustus 2021,5,Aplikasi bagus ...
Muhammad 5B,7 Agustus 2021,5,aku mau kasih tau kalau aplikasi ini bisa setelah titik-titik ini panjang?????
bunga legina,7 Agustus 2021,5,Bagus banget...
Ivan Dien Saputra,8 Agustus 2021,5,APLIKASI BAGUS...
Aljabbar Abyan,7 Agustus 2021,5,Semoga tiktok tidak update lagi kouta saya nanti habis kalau update terus kenapa kau babi dah saya bilang sana lu dasar
Setiawati Mukti,8 Agustus 2021,5,Aplikasi bagus kawan silahkan di download dengan G A G 6 E T L U 9 X Y T X silahkan dipake kode kawan untuk dapat tambahan poinmu ...
Rafly Anthoni,7 Agustus 2021,5,"Please lah tiktok Akun ku jangan di takedown cuma karena background  yang agak vulgar anime di takedown lama banget sudah nyiapin konten yang gak melanggar tapi takedown  lama banget jadi numpuk semua ada yang lain sudah pada lupa,sedangkan kreator lain pamer bikini dan hal lain ..."
_Wafi Kusuma 7C,7 Agustus 2021,5,Jelek banget tapi bohong hayuk
Ony Hartono,7 Agustus 2021,5,"saya pengguna dan penikmat aplikasi tiktok sangat senang karena lucu lucu,menghibur dan membuat hati saya gembira,hilangkan kepenatan dan kejenuhan beraktivitas di hari hari ini,terutama saat pandemi Covid 19 sekarang ini,menghadapi masa PSBB,dilanjutkan dengan PPKM yang membuat gabut,hati galau"
Tiktok GBDPPMNGMPYTG,7 Agustus 2021,4,Keren banget program aplikasi tiktok makin banget bagus sekali.jadi makin menyukai saya. selain dapat uang makin bak dan terhibur jadi enjoy banget dengan aplikasi ini ...
Angelina Marsya,7 Agustus 2021,5,Pokok bagus keren kenapa lihat ke bawah
Mikaila Aila,8 Agustus 2021,5,Aplikasi bagus benget kenapa lihat di bawah kan sudah dibilang bagus
Alif Mirza,8 Agustus 2021,5,Bagus banget
Ghoz19n,6 Agustus 2021,5,"Masukan untuk tiktok mungkin bisa jadi pertimbangan, Tiktok sekarang sudah menjadi aplikasi yang dimiliki setiap orang, Masukan dari saya Adakan Mode VN di Kolom Komentar, jadi kita berkomentar tidak lagi menggunakan keyboard/papan ketik yang berupa huruf, akan tetapi ada 2 model 1.Voice, 2.Huruf."
Rizky Ramadian,7 Agustus 2021,5,bagus banget apa lu lihat lihat saya kan saya sudah BILANG APLIKASI BAGUS
Meysha Ulfara,7 Agustus 2021,5,Aplikasiny sangat bagus?????????????????????????????? tapi bohong canda emang bagus aplikasi
Abdul Kholiq08,8 Agustus 2021,5,Aplikasi ini sangat bagus dan menarik apa lihat² kebawah kan sudah di bilang bagus😁
afree Fafaros099,6 Agustus 2021,5,Bagus banget aplikasi aku suka banget sudah ku bilang bagus masih aja lihat²😠😠
apa kobilang,8 Agustus 2021,3,Bagus 👍
Alya Roslaini,8 Agustus 2021,1,"Akun tiktok aku dihapus selama gara-gara spam komen, padahal aku spam komen buat kasih info yang baik ke orang2 biar tidak kemakan hoax dan berita lama. Tiktok emang enggak adil. tiktok id aku  milkyxly. Semoga akun aku bisa kembali, soal bak kenangan di akun itu, amin"
Vivisiel,8 Agustus 2021,1,"Tolong kepada pihak tiktok, hp oppo a3s Selalu saja lag, Dan setiap saya buat konten di tiktok lalu saya post.. Pasti selalu Layar hitam semua... Dan saya waktu itu uninstall terus install lagi Malah Crash.. Layar saya hitam semua dan ""tiktok tidak dapat di instal,"""
