comment,Label
Aplikasi ini sangat bagus sekali,Positif
Aplikasi mantap ...,Positif
Jangan Download aplikasi jelek banget Tapi bohong ayu,Positif
Aplikasi ini bagus banget,Positif
Aplikasi ini bagus banget kalian harus download jangan lupa ya,Positif
"Aplikasi dijamin ya sudah terbukti membayar, ayo ikutan download ya kawan Makasih ya kawan",Positif
"Senang terus nonton video disini bagus-bagus konten,tidak monoton karena hadiah juga ada, pakai kode supaya dapat tambah-tambahan poin dan uang...",Positif
Bagus sudah dibilang bagus,Positif
Aplikasi kok begini Tapi bagus ini wajib download,Positif
"Untukmu pemilik Tiktok Terima kasih sebelum telah memberikan hadiah ke kami, yang awal di permudah dan lama-lama menjadi sulit. Terima kasih telah memberikan kami keuntungan, sehingga kami tetap bisa bertahan hidup. Saya perwakilan yang lain mohon kembalikan event sebelum dan dipermudah",Negatif
Aplikasi yang sangat bagus. Tapi tolong dong buat lagi misi check in dan misi tonton video. Jangan cuma ada misi undang orang aja. Karna dimana mana sekarang ini orang sudah pada download tiktok. Jadi susah buat undang orang. Terimakasih,Positif
Ini kenapa sih aplikasi? Pas belum aku update masih bagus aja loh semenjak aku update akun lama ku hilang Padahal Susah cari follow sudah mau 1K followers  eh malah hilang please  mikir kenapa susah tau Cari followers  sudah gitu tiktok Error lagi Keluar sendiri sudah 7× keluar sendiri Lemot juga ...,Negatif
Ini bagus banget loh kalian harus download sekarang juga kenapa lihat lihat kan sudah dibilang bagus,Positif
Aplikasi bagus sekali,Positif
aplikasi bagus,Positif
tiktok bagus kok tidak jelek...,Positif
Bang nama aplikasi apa kenapa lihat kebawa kan gue sudah ngomong di atas,Positif
Mantap dah seru kali video,Positif
Bagus banget aplikasi apa lihat ke bawah emang aplikasi bagus,Positif
tiktok bagus download tiktok sekarang...,Positif
Tiktok bagus parah apa lihat kebawah orang sudah bener bagus,Positif
Aplikasi tidak guna????? Tapi bohong hayu Bagus banget nyesel banget kalo enggak,Positif
"Selalu setia bersama aplikasi ini, selalu mendukung konten-konten, pakai kode hadiah, awal login dapat 10k",Positif
APLIKASI BAGUS BANGET APA lihat lihat KE BAWAH KAN DAH DI BILANG BAGUS DAH DOWNLOAD...,Positif
Aplikasi ini Bagus sekali,Positif
Game bagus kenapa lihat,Positif
Aplikasi apaan ni begitu masuk kok menghibur,Positif
Aplikasi bagus banget...,Positif
Aplikasi bagus Kok masih lihat bawah kan aku sudah bilang bagus di atas tadi,Positif
Aplikasi ini bagus banget???...,Positif
Aplikasi bagus banget ...,Positif
Aplikasi bagus banget Lah kok lihat ke bawah...,Positif
Aplikasi ini bagus banget aku suka ...,Positif
Aplikasi seru...,Positif
Ini aplikasi bagus banget...,Positif
"Mantep bangetlah aplikasi, dapat jajan dari sini mantul mari ramaikan saudara2 biar pada pakai dan klaim bonus. Yuk di share biar makin banyak yang tau '",Positif
Lucu lucu Benar kan lucu lucu kenapa lihat kebawah,Positif
Bagus banget aplikasi apa lihat² sudah bilang bagus ya bagus,Positif
Aplikasi bagus ...,Positif
aku mau kasih tau kalau aplikasi ini bisa setelah titik-titik ini panjang?????,Positif
Bagus banget...,Positif
APLIKASI BAGUS...,Positif
Semoga tiktok tidak update lagi kouta saya nanti habis kalau update terus kenapa kau babi dah saya bilang sana lu dasar,Positif
Aplikasi bagus kawan silahkan di download dengan G A G 6 E T L U 9 X Y T X silahkan dipake kode kawan untuk dapat tambahan poinmu ...,Positif
"Please lah tiktok Akun ku jangan di takedown cuma karena background  yang agak vulgar anime di takedown lama banget sudah nyiapin konten yang gak melanggar tapi takedown  lama banget jadi numpuk semua ada yang lain sudah pada lupa,sedangkan kreator lain pamer bikini dan hal lain ...",Positif
Jelek banget tapi bohong hayuk,Positif
"saya pengguna dan penikmat aplikasi tiktok sangat senang karena lucu lucu,menghibur dan membuat hati saya gembira,hilangkan kepenatan dan kejenuhan beraktivitas di hari hari ini,terutama saat pandemi Covid 19 sekarang ini,menghadapi masa PSBB,dilanjutkan dengan PPKM yang membuat gabut,hati galau",Positif
Keren banget program aplikasi tiktok makin banget bagus sekali.jadi makin menyukai saya. selain dapat uang makin banyak dan terhibur jadi enjoy banget dengan aplikasi ini ...,Positif
Pokok bagus keren kenapa lihat ke bawah,Positif
Aplikasi bagus benget kenapa lihat di bawah kan sudah dibilang bagus,Positif
Bagus banget,Positif
"Masukan untuk tiktok mungkin bisa jadi pertimbangan, Tiktok sekarang sudah menjadi aplikasi yang dimiliki setiap orang, Masukan dari saya Adakan Mode VN di Kolom Komentar, jadi kita berkomentar tidak lagi menggunakan keyboard/papan ketik yang berupa huruf, akan tetapi ada 2 model 1.Voice, 2.Huruf.",Positif
bagus banget apa lu lihat lihat saya kan saya sudah BILANG APLIKASI BAGUS,Positif
Aplikasiny sangat bagus?????????????????????????????? tapi bohong canda emang bagus aplikasi,Positif
Aplikasi ini sangat bagus dan menarik apa lihat² kebawah kan sudah di bilang bagus😁,Positif
Bagus banget aplikasi aku suka banget sudah ku bilang bagus masih aja lihat²😠😠,Positif
Bagus 👍,Positif
"Akun tiktok aku dihapus selama gara-gara spam komen, padahal aku spam komen buat kasih info yang baik ke orang2 biar tidak kemakan hoax dan berita lama. Tiktok emang enggak adil. tiktok id aku  milkyxly. Semoga akun aku bisa kembali, soal banyak kenangan di akun itu, amin",Negatif
"Tolong kepada pihak tiktok, hp oppo a3s Selalu saja lag, Dan setiap saya buat konten di tiktok lalu saya post.. Pasti selalu Layar hitam semua... Dan saya waktu itu uninstall terus install lagi Malah Crash.. Layar saya hitam semua dan ""tiktok tidak dapat di instal,""",Negatif
"Apakah tiktok lagi gangguan penarikan saldo? Kenapa belum juga masuk kerekening saya ya? Padahal sudah 1x24 jam, mohon kepada pihak tiktok perbaiki lagi penarikan saldo supaya lebih cepat biar gak nunggu sampe berhari hari ya Terima kasih... Mohon bantuan ya tiktok",Positif
PT tiktok aneh.. disuruh ngundang... tapi enggak bisa ngundang.. kalau bangkrut mah sudah tutup aja.. di suruh ngundang tapi enggak bisa.. hilangin aja undangan.. kasih banus aja buat yang nonton.. besarin bonus ..apa lah enggak jelas,Negatif
Aplikasi bagus banget,Positif
